@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'The solution should maintain and display vendor file.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide on-line entry of stock received, adjusted, and transferred.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide a direct interface with drug wholesaler information systems.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should allow a manual correction to a count of an item in inventory by increasing or decreasing the item’s on hand quantity.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should offer a Return to Stock function.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track and maintain minimum and maximum inventory levels.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should identify the primary vendor or manufacturer of inventory items.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should flag drugs when their user-defined critical order levels are reached.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should allow electronic ordering from prime vendors using an X.12 interface.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should prepare purchase orders based on inventory levels, usage and other reorder criteria.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide automatic or on demand generation of purchase orders.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide purchase order reconciliation electronically and manually.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should alert the user of discontinued, back ordered, non-formulary, etc drug orders at the point of ordering from the vendor.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide a process to quickly order back-ordered, discontinued drugs, etc from another vendor or manufacturer.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'These solution should allow inventory updates electronically and manually from sources determined by CCHCS.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should allow automatic updates for inventory data via multiple sources as determined by CCHCS.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide flexibility in how items are deducted from inventory and supports concurrent multiple methodologies within the same facility.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should maintain pricing data for all formulary and non-formulary items.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support electronic and manual pricing updates.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide user-definable pricing formulas to copy existing pricing formulas to create new ones.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track prices based on AWP, Bid, or MAC price.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide a price modeling function to analyze the impact of price structure changes before implementation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support entry of pricing information and choice of a \"charge\" algorithm e.g. minimum charge, handling fees, percent markups, etc.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should assign lot numbers for prepared medication packages.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support and track controlled medication inventory levels.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should maintain \"vault\" records for controlled medications.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support fractional inventory calculation, user definable at time of order entry.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide inventory valuation based on CCHCS criteria.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support on demand inventory valuation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should print pharmacy inventory audit or cycle count  worksheet listing drug data, quantity-on-hand and last audit or verification date.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track departmental (or other types) requisitions with printed monthly transaction statements.',0,0,0,0,0,0,0,0,0,0,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support floor stock medication or bulk stock inventory control.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support daily floor stock or bulk stock medication lists on demand or at a user-defined time.',0,0,0,0,0,0,0,0,0,0,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support complete floor stock usage tracking, charging, and statistical reporting.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should print prepackaging log and inventory transfers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support the ability to check in inventory received from another store and to automatically update the inventory levels.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should support the ability to transfer inventory received to another store and to automatically update the inventory levels.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track drugs returned to manufacturer or wholesalers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track physician-prescribing patterns.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should generate spoilage report for outdated inventory.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track wholesaler performance.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should maintain data on drugs borrowed from and loaned to other institutions.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Requirement Statement',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should comply with the HIPAA Privacy Rule.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Privacy Rule  (Protected health information, or PHI, is defined at 45 CFR § 160.103, which can be found on the OCR website at http://hhs.gov/ocr/hipaa.)',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should comply with the HIPAA Security Rule.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should comply with the HIPAA Security Rule: Administrative Safeguards.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'In general, these are the administrative functions that should be implemented to meet the security standards.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'These include assignment or delegation of security responsibility to an individual and security training requirements.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,cchcs_rfp
'The solution should comply with the HIPAA Security Rule: Physical Safeguards.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The Security Rule defines physical safeguards as physical measures, policies, and procedures to protect a covered entity’s electronic information solutions and related buildings and equipment, from natural and environmental hazards, and unauthorized intrusion.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The standards are another line of defense (adding to the Security Rule’s administrative and technical safeguards) for protecting EPHI.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should comply with the HIPAA Security Rule: Technical Safeguards.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The Security Rule defines technical safeguards in § 164.304 as the technology and the policy and procedures for its use that protect electronic protected health information and control access to it.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should comply with Electronic Transactions and Code Sets Rule.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should comply with the National identifier requirements for employers, providers, and health plans - The Employer Identification Number (EIN), issued by the Internal Revenue Service (IRS), was selected as the identifier for employers.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The National Provider Identifier (NPI) was adopted as the standard unique health identifier for health care providers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The HIPAA security requirements are designed to be technology neutral and scalable.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Per CFR 164.306(b) the solution should take into account (1) The size, complexity and capabilities of the organization.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'(2) The organization\'s technical infrastructure, hardware, and software security capabilities.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'(3) The costs of security measures.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'(4) The probability and criticality of potential risks to EPHI.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should protect Individually identifiable health information that is information, including demographic data, that relates to:  (1) the individual’s past, present or future physical or mental health or condition; (2) the provision of health care to the individual, or 3) the past, present, or future payment for the provision of health care to the individual, and that identifies the individual or for which there is a reasonable basis to believe can be used to identify the individual; (3) Individually identifiable health information includes many common identifiers (e.g., name, address, birth date, Social Security Number).',1,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should comply with the Privacy Rule that protects all individually identifiable health information held or transmitted by a covered entity or its business associate, in any form or media, whether electronic, paper, or oral.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,cchcs_rfp
'The Privacy Rule calls this information \"protected health information (PHI).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide HIPAA records and compliance reports.',0,0,0,0,0,0,0,1,0,0,0,0,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide reports for records of information solution activity, such as audit logs, access reports, and security incident tracking reports.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,cchcs_rfp
'The solution should provide the ability to grant and revoke access to electronic protected health information managed by the solution.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should maintain retrievable exact copies of electronic protected health information.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to restore any loss of data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,cchcs_rfp
'The solution should implement technical policies and procedures for electronic information solutions that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in 45 CFR 164.308(a)(4) .',0,0,0,0,0,1,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,cchcs_rfp
'The solution should assign a unique name possibly and possibly number for identifying and tracking user identity (Global User ID).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement a mechanism to encrypt and decrypt electronic protected health information.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The organization should implement hardware, software, possibly and possibly procedural mechanisms that record and examine activity in information solutions that contain or use electronic protected health information.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should restrict access and uses of protected health information based on the specific user\'s role.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,cchcs_rfp
'The solution should have the ability to de-identify health information which neither identifies nor provides a reasonable basis to identify an individual.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,cchcs_rfp
'The solution should remove identifiers of the individual or of relatives, employers, or household members of the individualto achieve the safe harbor method of de-identification.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support two ways to de-identify information; either: 1) a formal determination by a qualified statistician; or 2) the removal of specified identifiers of the individual and of the individual’s relatives, household members, and employers is required, and is adequate only if the covered entity has no actual knowledge that the remaining information could be used to identify the individual.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,cchcs_rfp
'The solution de-identification capability should include: Medical record numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Social security numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Electronic mail addresses.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: FAX numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Telephone numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: All elements of dates (except year) for dates directly related to the individual, including birth date, admission date, discharge date, date of death; and all ages over 89 and all elements of dates (including year) indicative of such age, except that such ages and elements may be aggregated into a single category of age 90 or older;',0,1,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include:  All geographic subdivisions smaller than a State, including street address, city, county, precinct, zip code, and their equivalent geocodes, except for the initial three digits of a zip code if, according to the current publicly available data from the Bureau of Census (1) the geographic units formed by combining all zip codes with the same three initial digits contains more than 20,000 people; and (2) the initial three digits of a zip code for all such geographic units containing 20,000 or fewer people is changed to 000;',1,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Names.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Web Universal Resource Locators (URLs).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Device identifiers and serial numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Vehicle identifiers and serial numbers, including license plate numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Certificate or license numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Health plan beneficiary numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Account numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Internet Protocol (IP) address numbers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Biometric identifiers, including finger and voice prints.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Full face photographic images and any comparable images.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'The solution de-identification capability should include: Any other unique identifying number, characteristic, or code, except as permitted for re-identification purposes provided certain conditions are met.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,cchcs_rfp
'In addition to the removal of the above-stated identifiers, the covered entity may not have actual knowledge that the remaining information could be used alone or in combination with any other information to identify an individual who is subject of the information.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to provide patients a copy of their protected health information in a covered entity’s designated record set.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to not provide patients access to the following protected health information: psychotherapy notes, information compiled for legal proceedings, laboratory results to which the Clinical Laboratory Improvement Act (CLIA) prohibits access, or information held by certain research laboratories.',0,0,0,0,0,0,0,1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,cchcs_rfp
'The solution should use more secure connections for email via SSL and the use of message-level standards such as S or MIME, SET, PEM, PGP, etc.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement two-factor authentication for granting remote access to solutions that contain EPHI.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'This process requires factors beyond general User IDs (i.e. usernames) and passwords to gain access to solutions (e.g., requiring users to answer a security question such as \"Favorite Pet\'s Name\").',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should implement a process for creating a unique User ID (i.e. user name) and performing authentication when granting remote access to a workforce member.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'This may be done using Remote Authentication Dial-In User Service (RADIUS) or other similar tools.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should have appropriate default values for session termination (time-out) on inactive portable or remote devices.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement a policy to encrypt backup and archival media; ensure that policies direct the user of encryption technologies of the appropriate strength.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,cchcs_rfp
'The solution should prohibit or prevent download of EPHI onto remote solutions or devices without an operational justification.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should minimize use of browser-cached data in web based applications which manage EPHI, particularly those accessed remotely.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should prohibit transmission of EPHI via open networks, such as the Internet, where appropriate.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should prohibit the use of offsite devices or wireless access points (e.g. hotel workstations) for non-secure access to email.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should use biometrics, such as fingerprint readers, on portable devices.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should implement and mandate appropriately strong encryption solutions for transmission of EPHI (e.g. SSL, HTTPS, etc.).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'SSL should be a minimum requirement for all Internet-facing solutions which manage EPHI in any form, including corporate web-mail solutions.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should support the Health Care Claims or equivalent encounter information (X12N 837).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Eligibility for a Health Plan (X12N 270 or 271).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Referral Certification and Authorization (X12N 278 or NCPDP for retail pharmacy).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Health Care Claim Status (X12N 276 or 277).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Enrollment and Disenrollment in a Health Plan (X12N 834).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Health Care Payment and Remittance Advice (X12N 835).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Health Plan Premium Payments (X12N 820).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should support the Coordination of Benefits (X12N 837 or NCPDP for retail pharmacy).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide a standardized audit log that supports both security risk management and fraud management.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide a date or time or user stamp for each clinical entry at data element level or some other suitable mechanism to allow assessment of the number of user operations used to create an encounter note or encounter note update.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide a date or time or user stamp of each access to the EMR.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
